Year	Catch	Pelagic	Other
1992	15590	0	15590
1993	12814	0	12814
1994	12721	0	12721
1995	10284	0	10284
1996	8075	0	8075
1997	8598	0	8598
1998	14045	0	14045
1999	11209	0	11209
2000	10075	0	10075
2001	18418	0	18418
2002	6993	9	6984
2003	2520	40	2480
2004	5493	2012	3481
2005	8465	4402	4063
2006	33261	28770	4491
2007	20219	16157	4062
2008	13095	8443	4652
2009	10246	5290	4956
2010	11924	8587	3337
2011	12962	8911	4051
2012	11056	7486	3563
2013	9474	6527	2958
2014	18780	4034	14746
2015	25836	4572	21084
