Year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
1992	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
1993	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
1994	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
1995	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
1996	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
1997	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
1998	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
1999	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2000	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2001	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2002	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2003	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2004	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2005	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2006	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2007	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2008	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2009	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2010	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2011	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2012	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2013	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2014	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2015	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2016	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
2017	5e-04	0.002	0.005	0.013	0.024	0.0990922917014274	0.143130833463122	0.190843343914547	0.240263181666673	0.289790491057308	0.338198891563694	0.384601296415826	0.428398778840348	0.469225814540898	0.506898821887278	0.541371140638928	0.572695438713722	0.600993379952144	0.626431823611287	0.756963049171741
